country,First show_id
"France, Luxembourg, Canada",s3767
"France, Luxembourg, United States",s4785
"France, Malta, United States",s2904
"France, Morocco",s5261
"France, Netherlands, Singapore",s509
"France, Netherlands, South Africa, Finland",s8747
"France, New Zealand",s6418
"France, Norway, Lebanon, Belgium",s1830
"France, Qatar",s5715
"France, Senegal, Belgium",s3208
"France, South Korea, Japan",s5660
"France, South Korea, Japan, United States",s2963
"France, Switzerland, Spain, United States, United Arab Emirates",s7636
"France, United Kingdom",s1015
"France, United Kingdom, India",s5456
"France, United Kingdom, United States",s5244
"France, United States",s100
"France, United States, Canada",s8103
"France, United States, Mexico",s6206
"France, United States, United Kingdom, Canada",s1014
Georgia,s5044
"Georgia, Germany, France",s5144
Germany,s1032
"Germany, Australia",s6558
"Germany, Australia, France, China",s5903
"Germany, Belgium",s6650
"Germany, Canada, United States",s8499
"Germany, China, United Kingdom",s2012
"Germany, Czech Republic",s13
"Germany, France",s916
"Germany, France, Luxembourg, United Kingdom, United States",s6517
"Germany, France, Russia",s4401
"Germany, France, United States, Canada, United Kingdom",s7858
"Germany, Italy",s3677
"Germany, Jordan, Netherlands",s5223
"Germany, Sri Lanka",s6443
"Germany, United Kingdom",s7355
"Germany, United Kingdom, United States",s7079
"Germany, United States",s1000
"Germany, United States, Canada",s7153
"Germany, United States, France",s803
"Germany, United States, Hong Kong, Singapore",s6502
"Germany, United States, Italy",s8597
"Germany, United States, Sweden",s7442
"Germany, United States, United Kingdom, Canada",s8730
Ghana,s2301
"Ghana, United States",s3961
"Greece, United States",s5234
Guatemala,s7984
Hong Kong,s160
"Hong Kong, Canada, United States",s487
"Hong Kong, China",s2221
"Hong Kong, China, Singapore",s5991
"Hong Kong, China, United States",s4342
"Hong Kong, Iceland, United States",s2060
"Hong Kong, Taiwan",s7968
"Hong Kong, United States",s1621
Hungary,s2774
"Hungary, United States",s1406
Iceland,s1605
"Iceland, Sweden, Belgium",s4213
India,s1017
"India, Australia",s4614
"India, Canada",s7889
"India, France",s1429
"India, Germany",s3135
"India, Germany, Austria",s4670
"India, Germany, France",s8374
"India, Iran",s6294
"India, Japan",s7036
"India, Malaysia",s5221
"India, Mexico",s5143
"India, Nepal",s260
"India, Pakistan",s4152
"India, Soviet Union",s5132
"India, Switzerland",s7790
"India, Turkey",s3570
"India, United Kingdom",s1020
"India, United Kingdom, Canada, United States",s3159
"India, United Kingdom, China, Canada, Japan, South Korea, United States",s2563
"India, United Kingdom, France, Qatar",s1229
"India, United States",s1389
Indonesia,s1091
"Indonesia, Netherlands",s1850
"Indonesia, Singapore",s4158
"Indonesia, South Korea, Singapore",s3052
"Indonesia, United Kingdom",s2296
"Indonesia, United States",s4501
"Iran, France",s6057
Ireland,s213
"Ireland, Canada",s4353
"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India",s8226
"Ireland, Canada, United Kingdom, United States",s7890
"Ireland, Canada, United States, United Kingdom",s8540
"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",s1550
"Ireland, Luxembourg, Belgium",s1797
"Ireland, South Africa",s5761
"Ireland, Switzerland, United Kingdom, France, United States",s1146
"Ireland, United Kingdom",s2707
"Ireland, United Kingdom, France, Germany",s1161
"Ireland, United Kingdom, Greece, France, Netherlands",s8399
"Ireland, United Kingdom, Italy, United States",s7001
